time_sec,dual_bound,objective_value,gap_pct,raw_line,objective_value_ffill,gap_pct_ffill,delta_objective,delta_gap,time_min
1.0,136646.5,,inf,  1.0s|     1 |     0 |   242 |     - |   113M |   0 |8040 | 428 | 389 |   0 |  0 |  39 |   0 | 1.366465e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.016666666666666666
1.0,136646.5,,inf,  1.0s|     1 |     0 |   334 |     - |   117M |   0 |8040 | 428 | 395 |   6 |  1 |  39 |   0 | 1.366465e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.016666666666666666
1.0,136646.1,,inf,  1.0s|     1 |     0 |   362 |     - |   119M |   0 |8040 | 428 | 401 |  12 |  2 |  39 |   0 | 1.366461e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.016666666666666666
1.0,136646.0,,inf,  1.0s|     1 |     0 |   392 |     - |   121M |   0 |8040 | 428 | 407 |  18 |  3 |  39 |   0 | 1.366460e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.016666666666666666
1.0,136645.9,,inf,  1.0s|     1 |     0 |   412 |     - |   123M |   0 |8040 | 428 | 414 |  25 |  4 |  39 |   0 | 1.366459e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.016666666666666666
1.0,136645.9,,inf,  1.0s|     1 |     0 |   439 |     - |   124M |   0 |8040 | 428 | 421 |  32 |  5 |  39 |   0 | 1.366459e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.016666666666666666
1.0,136645.8,,inf,  1.0s|     1 |     0 |   474 |     - |   124M |   0 |8040 | 428 | 428 |  39 |  6 |  39 |   0 | 1.366458e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.016666666666666666
1.0,136645.8,,inf,  1.0s|     1 |     0 |   502 |     - |   124M |   0 |8040 | 428 | 435 |  46 |  7 |  39 |   0 | 1.366458e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.016666666666666666
1.0,136645.7,,inf,  1.0s|     1 |     0 |   522 |     - |   124M |   0 |8040 | 428 | 441 |  52 |  8 |  39 |   0 | 1.366457e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.016666666666666666
1.0,136645.7,124217.8,10.0,r 1.0s|     1 |     0 |   522 |     - |shifting|   0 |8040 | 428 | 441 |  52 |  8 |  39 |   0 | 1.366457e+05 | 1.242178e+05 |  10.00%| unknown,124217.8,10.0,0.0,0.0,0.016666666666666666
1.0,136645.7,124217.8,10.0,  1.0s|     1 |     0 |   571 |     - |   125M |   0 |8040 | 428 | 447 |  58 |  9 |  39 |   0 | 1.366457e+05 | 1.242178e+05 |  10.00%| unknown,124217.8,10.0,0.0,0.0,0.016666666666666666
1.0,136645.7,132794.9,2.9,i 1.0s|     1 |     0 |   571 |     - |  oneopt|   0 |8040 | 428 | 447 |  58 |  9 |  39 |   0 | 1.366457e+05 | 1.327949e+05 |   2.90%| unknown,132794.9,2.9,8577.099999999991,-7.1,0.016666666666666666
2.0,136645.6,132794.9,2.9,  2.0s|     1 |     0 |   594 |     - |   125M |   0 |8040 | 428 | 453 |  64 | 10 |  39 |   0 | 1.366456e+05 | 1.327949e+05 |   2.90%| unknown,132794.9,2.9,0.0,0.0,0.03333333333333333
2.0,136645.6,132794.9,2.9,  2.0s|     1 |     0 |   623 |     - |   125M |   0 |8040 | 428 | 460 |  71 | 11 |  39 |   0 | 1.366456e+05 | 1.327949e+05 |   2.90%| unknown,132794.9,2.9,0.0,0.0,0.03333333333333333
3.0,136644.4,132794.9,2.9,  3.0s|     1 |     2 |  1888 |     - |   127M |   0 |8040 | 455 | 460 |  71 | 11 |  66 |  17 | 1.366444e+05 | 1.327949e+05 |   2.90%| unknown,132794.9,2.9,0.0,0.0,0.05
11.0,136642.3,134873.9,1.31,d11.0s|    29 |    30 |  4779 | 148.4 |pscostdi|  15 |8040 | 475 | 425 |   0 |  1 |  91 | 533 | 1.366423e+05 | 1.348739e+05 |   1.31%| unknown,134873.9,1.31,2079.0,-1.5899999999999999,0.18333333333333332
18.0,136642.1,134873.9,1.31, 18.0s|   100 |   101 |  8322 |  77.8 |   154M |  21 |8040 | 487 | 421 | 142 |  1 | 107 | 920 | 1.366421e+05 | 1.348739e+05 |   1.31%| unknown,134873.9,1.31,0.0,0.0,0.3
23.0,136642.1,135936.7,0.52,r23.0s|   166 |   153 | 16195 |  94.4 |randroun|  40 |8040 | 491 | 433 | 163 |  2 | 111 | 974 | 1.366421e+05 | 1.359367e+05 |   0.52%|   0.62%,135936.7,0.52,1062.8000000000175,-0.79,0.38333333333333336
23.0,136642.1,136410.1,0.17,r23.0s|   166 |   145 | 16201 |  94.4 |rounding|  40 |8040 | 491 | 435 | 165 |  3 | 111 | 974 | 1.366421e+05 | 1.364101e+05 |   0.17%|   4.92%,136410.1,0.17,473.3999999999942,-0.35,0.38333333333333336
24.0,136642.1,136410.1,0.17, 24.0s|   200 |   181 | 17014 |  82.4 |   192M |  43 |8040 | 454 | 421 | 177 |  1 | 115 |1041 | 1.366421e+05 | 1.364101e+05 |   0.17%|   4.92%,136410.1,0.17,0.0,0.0,0.4
26.0,136642.1,136410.1,0.17, 26.0s|   300 |   281 | 18613 |  60.2 |   199M |  43 |8040 | 455 | 424 | 215 |  1 | 117 |1176 | 1.366421e+05 | 1.364101e+05 |   0.17%|   4.92%,136410.1,0.17,0.0,0.0,0.43333333333333335
28.0,136642.1,136517.8,0.09,L28.0s|   366 |   334 | 20179 |  53.6 |crossove|  43 |8040 | 454 | 424 | 231 |  1 | 117 |1232 | 1.366421e+05 | 1.365178e+05 |   0.09%|   5.06%,136517.8,0.09,107.69999999998254,-0.08000000000000002,0.4666666666666667
28.0,136642.1,136517.8,0.09, 28.0s|   400 |   364 | 20678 |  50.3 |   204M |  43 |8040 | 453 | 422 | 243 |  1 | 117 |1261 | 1.366421e+05 | 1.365178e+05 |   0.09%|   5.06%,136517.8,0.09,0.0,0.0,0.4666666666666667
30.0,136642.1,136517.8,0.09, 30.0s|   500 |   464 | 22187 |  43.2 |   205M |  43 |8040 | 450 | 422 | 272 |  1 | 117 |1343 | 1.366421e+05 | 1.365178e+05 |   0.09%|   5.06%,136517.8,0.09,0.0,0.0,0.5
32.0,136642.1,136517.8,0.09, 32.0s|   600 |   564 | 23683 |  38.5 |   207M |  45 |8040 | 450 | 423 | 307 |  1 | 117 |1414 | 1.366421e+05 | 1.365178e+05 |   0.09%|   5.06%,136517.8,0.09,0.0,0.0,0.5333333333333333
34.0,136642.1,136517.8,0.09, 34.0s|   700 |   664 | 24941 |  34.8 |   209M |  45 |8040 | 450 | 427 | 340 |  1 | 117 |1524 | 1.366421e+05 | 1.365178e+05 |   0.09%|   5.06%,136517.8,0.09,0.0,0.0,0.5666666666666667
36.0,136642.1,136517.8,0.09, 36.0s|   800 |   764 | 26823 |  32.8 |   210M |  45 |8040 | 470 | 430 | 387 |  1 | 137 |1620 | 1.366421e+05 | 1.365178e+05 |   0.09%|   5.06%,136517.8,0.09,0.0,0.0,0.6
38.0,136642.1,136517.8,0.09, 38.0s|   900 |   854 | 27997 |  30.4 |   212M |  48 |8040 | 476 | 426 | 427 |  1 | 146 |1881 | 1.366421e+05 | 1.365178e+05 |   0.09%|   5.06%,136517.8,0.09,0.0,0.0,0.6333333333333333
40.0,136642.1,136517.8,0.09, 40.0s|  1000 |   952 | 29317 |  28.7 |   217M |  50 |8040 | 475 | 426 | 489 | 13 | 147 |1954 | 1.366421e+05 | 1.365178e+05 |   0.09%|   5.06%,136517.8,0.09,0.0,0.0,0.6666666666666666
42.0,136642.1,136517.8,0.09, 42.0s|  1100 |  1050 | 30423 |  27.1 |   218M |  50 |8040 | 474 | 429 | 511 |  1 | 147 |2007 | 1.366421e+05 | 1.365178e+05 |   0.09%|   5.06%,136517.8,0.09,0.0,0.0,0.7
43.0,136642.1,136517.8,0.09, 43.0s|  1200 |  1146 | 31880 |  26.1 |   220M |  50 |8040 | 474 | 431 | 551 |  1 | 148 |2059 | 1.366421e+05 | 1.365178e+05 |   0.09%|   5.06%,136517.8,0.09,0.0,0.0,0.7166666666666667
45.0,136642.1,136517.8,0.09, 45.0s|  1300 |  1242 | 33145 |  25.0 |   227M |  50 |8040 | 489 | 429 | 589 |  1 | 167 |2213 | 1.366421e+05 | 1.365178e+05 |   0.09%|   5.06%,136517.8,0.09,0.0,0.0,0.75
47.0,136642.1,136517.8,0.09, 47.0s|  1400 |  1332 | 34603 |  24.3 |   228M |  50 |8040 | 491 | 427 | 611 |  1 | 180 |2471 | 1.366421e+05 | 1.365178e+05 |   0.09%|   5.06%,136517.8,0.09,0.0,0.0,0.7833333333333333
