time_sec,dual_bound,objective_value,gap_pct,raw_line,objective_value_ffill,gap_pct_ffill,delta_objective,delta_gap,time_min
1.0,265626.8,265003.8,0.24,  1.0s|     1 |     0 |  1169 |     - |   214M |   0 |  16k| 583 | 577 |   0 |  0 |   6 |   0 | 2.656268e+05 | 2.650038e+05 |   0.24%| unknown,265003.8,0.24,0.0,0.0,0.016666666666666666
1.0,265626.8,265003.8,0.24,  1.0s|     1 |     0 |  1169 |     - |   215M |   0 |  16k| 583 | 526 |   0 |  0 |   6 |   0 | 2.656268e+05 | 2.650038e+05 |   0.24%| unknown,265003.8,0.24,0.0,0.0,0.016666666666666666
1.0,265626.8,265003.8,0.24,  1.0s|     1 |     0 |  1242 |     - |   223M |   0 |  16k| 583 | 537 |  11 |  1 |   6 |   0 | 2.656268e+05 | 2.650038e+05 |   0.24%| unknown,265003.8,0.24,0.0,0.0,0.016666666666666666
1.0,265626.8,265003.8,0.24,  1.0s|     1 |     0 |  1350 |     - |   226M |   0 |  16k| 583 | 553 |  27 |  2 |   6 |   0 | 2.656268e+05 | 2.650038e+05 |   0.24%| unknown,265003.8,0.24,0.0,0.0,0.016666666666666666
1.0,265626.8,265003.8,0.24,  1.0s|     1 |     0 |  1436 |     - |   230M |   0 |  16k| 583 | 568 |  42 |  3 |   6 |   0 | 2.656268e+05 | 2.650038e+05 |   0.24%| unknown,265003.8,0.24,0.0,0.0,0.016666666666666666
1.0,265626.8,265003.8,0.24,  1.0s|     1 |     0 |  1555 |     - |   233M |   0 |  16k| 583 | 583 |  57 |  4 |   6 |   0 | 2.656268e+05 | 2.650038e+05 |   0.24%| unknown,265003.8,0.24,0.0,0.0,0.016666666666666666
2.0,265626.8,265003.8,0.24,  2.0s|     1 |     0 |  1699 |     - |   236M |   0 |  16k| 583 | 600 |  74 |  5 |   6 |   0 | 2.656268e+05 | 2.650038e+05 |   0.24%| unknown,265003.8,0.24,0.0,0.0,0.03333333333333333
2.0,265626.8,265003.8,0.24,  2.0s|     1 |     0 |  2132 |     - |   237M |   0 |  16k| 583 | 616 |  90 |  6 |   6 |   0 | 2.656268e+05 | 2.650038e+05 |   0.24%| unknown,265003.8,0.24,0.0,0.0,0.03333333333333333
2.0,265626.8,265003.8,0.24,  2.0s|     1 |     0 |  2230 |     - |   238M |   0 |  16k| 583 | 632 | 106 |  7 |   6 |   0 | 2.656268e+05 | 2.650038e+05 |   0.24%| unknown,265003.8,0.24,0.0,0.0,0.03333333333333333
2.0,265626.8,265003.8,0.24,  2.0s|     1 |     0 |  2423 |     - |   240M |   0 |  16k| 583 | 651 | 125 |  8 |   6 |   0 | 2.656268e+05 | 2.650038e+05 |   0.24%| unknown,265003.8,0.24,0.0,0.0,0.03333333333333333
2.0,265626.7,265003.8,0.24,  2.0s|     1 |     0 |  2626 |     - |   240M |   0 |  16k| 583 | 665 | 139 |  9 |   6 |   0 | 2.656267e+05 | 2.650038e+05 |   0.24%| unknown,265003.8,0.24,0.0,0.0,0.03333333333333333
3.0,265626.7,265003.8,0.24,  3.0s|     1 |     0 |  2761 |     - |   243M |   0 |  16k| 583 | 680 | 154 | 10 |   6 |   0 | 2.656267e+05 | 2.650038e+05 |   0.24%| unknown,265003.8,0.24,0.0,0.0,0.05
3.0,265626.7,265003.8,0.24,  3.0s|     1 |     0 |  2930 |     - |   244M |   0 |  16k| 583 | 693 | 169 | 11 |   6 |   0 | 2.656267e+05 | 2.650038e+05 |   0.24%| unknown,265003.8,0.24,0.0,0.0,0.05
7.0,265626.7,265003.8,0.24,  7.0s|     1 |     2 | 10182 |     - |   248M |   0 |  16k| 608 | 693 | 169 | 11 |  82 |  20 | 2.656267e+05 | 2.650038e+05 |   0.24%| unknown,265003.8,0.24,0.0,0.0,0.11666666666666667
49.0,265626.6,265003.8,0.23, 49.0s|   100 |    95 | 43733 | 412.2 |   285M |  18 |  16k| 602 | 595 | 289 |  1 |  86 |1703 | 2.656266e+05 | 2.650038e+05 |   0.23%|   4.74%,265003.8,0.23,0.0,-0.009999999999999981,0.8166666666666667
60.0,265626.6,265003.8,0.23, 60.0s|   200 |   193 | 58172 | 277.6 |   294M |  37 |  16k| 610 | 594 | 319 |  1 |  98 |2001 | 2.656266e+05 | 2.650038e+05 |   0.23%|   5.00%,265003.8,0.23,0.0,0.0,1.0
65.0,265626.6,265003.8,0.23, 65.0s|   300 |   293 | 65446 | 209.1 |   296M |  43 |  16k| 637 | 594 | 324 |  1 | 127 |2074 | 2.656266e+05 | 2.650038e+05 |   0.23%|   5.00%,265003.8,0.23,0.0,0.0,1.0833333333333333
71.0,265626.6,265003.8,0.23, 71.0s|   400 |   393 | 73163 | 176.0 |   298M |  47 |  16k| 641 | 594 | 336 |  1 | 132 |2151 | 2.656266e+05 | 2.650038e+05 |   0.23%|   5.00%,265003.8,0.23,0.0,0.0,1.1833333333333333
74.0,265626.6,265003.8,0.23, 74.0s|   500 |   493 | 78188 | 150.8 |   302M |  47 |  16k| 687 | 594 | 358 |  1 | 179 |2175 | 2.656266e+05 | 2.650038e+05 |   0.23%|   5.00%,265003.8,0.23,0.0,0.0,1.2333333333333334
76.0,265626.6,265003.8,0.23, 76.0s|   600 |   589 | 81139 | 130.6 |   304M |  53 |  16k| 709 | 595 | 377 |  1 | 201 |2184 | 2.656266e+05 | 2.650038e+05 |   0.23%|   5.00%,265003.8,0.23,0.0,0.0,1.2666666666666666
79.0,265626.6,265003.8,0.23, 79.0s|   700 |   687 | 85001 | 117.4 |   306M |  55 |  16k| 752 | 595 | 392 |  1 | 245 |2194 | 2.656266e+05 | 2.650038e+05 |   0.23%|   5.00%,265003.8,0.23,0.0,0.0,1.3166666666666667
81.0,265626.6,265003.8,0.23, 81.0s|   800 |   787 | 86938 | 105.1 |   306M |  81 |  16k| 764 | 598 | 400 |  1 | 257 |2205 | 2.656266e+05 | 2.650038e+05 |   0.23%|   5.00%,265003.8,0.23,0.0,0.0,1.35
84.0,265626.6,265003.8,0.23, 84.0s|   900 |   887 | 91005 |  98.0 |   308M |  81 |  16k| 775 | 597 | 409 |  1 | 271 |2233 | 2.656266e+05 | 2.650038e+05 |   0.23%|   5.00%,265003.8,0.23,0.0,0.0,1.4
87.0,265626.6,265003.8,0.23, 87.0s|  1000 |   987 | 95794 |  93.0 |   310M |  81 |  16k| 799 | 595 | 413 |  1 | 297 |2247 | 2.656266e+05 | 2.650038e+05 |   0.23%|   5.00%,265003.8,0.23,0.0,0.0,1.45
89.0,265626.6,265003.8,0.23, 89.0s|  1100 |  1087 | 97572 |  86.1 |   311M |  81 |  16k| 836 | 598 | 427 |  1 | 334 |2258 | 2.656266e+05 | 2.650038e+05 |   0.23%|   5.00%,265003.8,0.23,0.0,0.0,1.4833333333333334
91.0,265626.6,265003.8,0.23, 91.0s|  1200 |  1185 |100636 |  81.5 |   314M |  81 |  16k| 885 | 594 | 433 |  1 | 383 |2270 | 2.656266e+05 | 2.650038e+05 |   0.23%|   5.00%,265003.8,0.23,0.0,0.0,1.5166666666666666
95.0,265626.6,265003.8,0.23, 95.0s|  1300 |  1285 |108281 |  81.1 |   315M |  81 |  16k| 896 | 595 | 463 |  1 | 394 |2315 | 2.656266e+05 | 2.650038e+05 |   0.23%|   5.00%,265003.8,0.23,0.0,0.0,1.5833333333333333
96.0,265626.6,265003.8,0.23, 96.0s|  1400 |  1383 |110273 |  76.7 |   316M |  81 |  16k| 916 | 596 | 472 |  1 | 416 |2318 | 2.656266e+05 | 2.650038e+05 |   0.23%|   5.00%,265003.8,0.23,0.0,0.0,1.6
102.0,265625.0,265003.8,0.23,  102s|  1500 |  1483 |121509 |  79.1 |   318M |  81 |  16k| 934 | 596 | 509 |  1 | 436 |2375 | 2.656250e+05 | 2.650038e+05 |   0.23%|   5.08%,265003.8,0.23,0.0,0.0,1.7
105.0,265625.0,265003.8,0.23,  105s|  1600 |  1581 |129688 |  79.3 |   319M |  81 |  16k| 944 | 597 | 522 |  1 | 446 |2384 | 2.656250e+05 | 2.650038e+05 |   0.23%|   5.08%,265003.8,0.23,0.0,0.0,1.75
108.0,265624.7,265003.8,0.23,  108s|  1700 |  1681 |136773 |  78.8 |   320M |  81 |  16k| 978 | 598 | 544 |  1 | 480 |2424 | 2.656247e+05 | 2.650038e+05 |   0.23%|   5.09%,265003.8,0.23,0.0,0.0,1.8
111.0,265624.7,265003.8,0.23,  111s|  1800 |  1781 |142335 |  77.5 |   320M |  81 |  16k| 979 | 599 | 554 |  1 | 482 |2426 | 2.656247e+05 | 2.650038e+05 |   0.23%|   5.09%,265003.8,0.23,0.0,0.0,1.85
113.0,265624.7,265003.8,0.23,  113s|  1900 |  1881 |144624 |  74.6 |   323M |  81 |  16k|1024 | 594 | 560 |  1 | 528 |2429 | 2.656247e+05 | 2.650038e+05 |   0.23%|   5.09%,265003.8,0.23,0.0,0.0,1.8833333333333333
115.0,265624.7,265003.8,0.23,  115s|  2000 |  1981 |146331 |  71.7 |   326M |  81 |  16k|1056 | 597 | 569 |  1 | 561 |2431 | 2.656247e+05 | 2.650038e+05 |   0.23%|   5.09%,265003.8,0.23,0.0,0.0,1.9166666666666667
118.0,265621.7,265003.8,0.23,  118s|  2100 |  2077 |151913 |  71.0 |   328M |  81 |  16k|1099 | 606 | 594 |  1 | 604 |2474 | 2.656217e+05 | 2.650038e+05 |   0.23%|   5.24%,265003.8,0.23,0.0,0.0,1.9666666666666666
120.0,265621.7,265003.8,0.23,  120s|  2200 |  2175 |154612 |  69.0 |   330M |  81 |  16k|1117 | 597 | 610 |  1 | 623 |2474 | 2.656217e+05 | 2.650038e+05 |   0.23%|   5.24%,265003.8,0.23,0.0,0.0,2.0
123.0,265621.0,265003.8,0.23,  123s|  2300 |  2275 |161428 |  68.9 |   331M |  81 |  16k|1202 | 596 | 649 |  1 | 709 |2502 | 2.656210e+05 | 2.650038e+05 |   0.23%|   5.28%,265003.8,0.23,0.0,0.0,2.05
126.0,265621.0,265003.8,0.23,  126s|  2400 |  2375 |164833 |  67.5 |   332M |  81 |  16k|1204 | 601 | 683 |  1 | 713 |2518 | 2.656210e+05 | 2.650038e+05 |   0.23%|   5.28%,265003.8,0.23,0.0,0.0,2.1
127.0,265621.0,265003.8,0.23,  127s|  2500 |  2465 |166545 |  65.5 |   334M |  81 |  16k|1230 | 610 | 712 |  1 | 739 |2521 | 2.656210e+05 | 2.650038e+05 |   0.23%|   5.28%,265003.8,0.23,0.0,0.0,2.1166666666666667
129.0,265621.0,265003.8,0.23,  129s|  2600 |  2541 |168231 |  63.6 |   334M | 105 |  16k|1288 | 600 | 721 |  1 | 797 |2544 | 2.656210e+05 | 2.650038e+05 |   0.23%|   5.28%,265003.8,0.23,0.0,0.0,2.15
131.0,265621.0,265003.8,0.23,  131s|  2700 |  2639 |171812 |  62.6 |   335M | 105 |  16k|1293 | 595 | 726 |  1 | 802 |2576 | 2.656210e+05 | 2.650038e+05 |   0.23%|   5.28%,265003.8,0.23,0.0,0.0,2.183333333333333
133.0,265621.0,265003.8,0.23,  133s|  2800 |  2735 |174651 |  61.4 |   336M | 105 |  16k|1301 | 595 | 731 |  1 | 813 |2593 | 2.656210e+05 | 2.650038e+05 |   0.23%|   5.28%,265003.8,0.23,0.0,0.0,2.216666666666667
136.0,265619.3,265003.8,0.23,  136s|  2900 |  2835 |179328 |  60.8 |   337M | 105 |  16k|1300 | 595 | 761 |  1 | 813 |2607 | 2.656193e+05 | 2.650038e+05 |   0.23%|   5.37%,265003.8,0.23,0.0,0.0,2.2666666666666666
137.0,265619.3,265003.8,0.23,  137s|  3000 |  2931 |181257 |  59.5 |   337M | 105 |  16k|1321 | 600 | 795 |  1 | 835 |2622 | 2.656193e+05 | 2.650038e+05 |   0.23%|   5.37%,265003.8,0.23,0.0,0.0,2.283333333333333
139.0,265619.3,265003.8,0.23,  139s|  3100 |  3029 |183088 |  58.1 |   341M | 105 |  16k|1355 | 594 | 797 |  1 | 871 |2622 | 2.656193e+05 | 2.650038e+05 |   0.23%|   5.37%,265003.8,0.23,0.0,0.0,2.316666666666667
141.0,265619.3,265003.8,0.23,  141s|  3200 |  3125 |184453 |  56.7 |   342M | 105 |  16k|1410 | 598 | 805 |  1 | 927 |2632 | 2.656193e+05 | 2.650038e+05 |   0.23%|   5.37%,265003.8,0.23,0.0,0.0,2.35
