time_sec,dual_bound,objective_value,gap_pct,raw_line,objective_value_ffill,gap_pct_ffill,delta_objective,delta_gap,time_min
0.0,136646.5,136612.8,0.02,  0.0s|     1 |     0 |   242 |     - |   109M |   0 |8040 | 427 | 389 |   0 |  0 |  38 |   0 | 1.366465e+05 | 1.366128e+05 |   0.02%| unknown,136612.8,0.02,0.0,0.0,0.0
0.0,136646.5,136612.8,0.02,  0.0s|     1 |     0 |   242 |     - |   109M |   0 |8040 | 427 | 181 |   0 |  0 |  38 |   0 | 1.366465e+05 | 1.366128e+05 |   0.02%| unknown,136612.8,0.02,0.0,0.0,0.0
0.0,136646.5,136612.8,0.02,  0.0s|     1 |     0 |   249 |     - |   113M |   0 |8040 | 427 | 187 |   6 |  1 |  38 |   0 | 1.366465e+05 | 1.366128e+05 |   0.02%| unknown,136612.8,0.02,0.0,0.0,0.0
0.0,136646.1,136612.8,0.02,  0.0s|     1 |     0 |   277 |     - |   113M |   0 |8040 | 427 | 193 |  12 |  2 |  38 |   0 | 1.366461e+05 | 1.366128e+05 |   0.02%| unknown,136612.8,0.02,0.0,0.0,0.0
0.0,136646.1,136612.8,0.02,  0.0s|     1 |     0 |   277 |     - |   113M |   0 |8040 | 427 | 193 |  12 |  2 |  38 |   0 | 1.366461e+05 | 1.366128e+05 |   0.02%| unknown,136612.8,0.02,0.0,0.0,0.0
0.0,136646.0,136612.8,0.02,  0.0s|     1 |     0 |   301 |     - |   114M |   0 |8040 | 427 | 199 |  18 |  3 |  38 |   0 | 1.366460e+05 | 1.366128e+05 |   0.02%| unknown,136612.8,0.02,0.0,0.0,0.0
0.0,136646.0,136612.8,0.02,  0.0s|     1 |     0 |   301 |     - |   114M |   0 |8040 | 427 | 199 |  18 |  3 |  38 |   0 | 1.366460e+05 | 1.366128e+05 |   0.02%| unknown,136612.8,0.02,0.0,0.0,0.0
0.0,136645.8,136612.8,0.02,  0.0s|     1 |     0 |   346 |     - |   114M |   0 |8040 | 427 | 205 |  24 |  4 |  38 |   0 | 1.366458e+05 | 1.366128e+05 |   0.02%| unknown,136612.8,0.02,0.0,0.0,0.0
0.0,136645.8,136612.8,0.02,  0.0s|     1 |     0 |   346 |     - |   114M |   0 |8040 | 427 | 205 |  24 |  4 |  38 |   0 | 1.366458e+05 | 1.366128e+05 |   0.02%| unknown,136612.8,0.02,0.0,0.0,0.0
1.0,136645.8,136612.8,0.02,  1.0s|     1 |     0 |   365 |     - |   114M |   0 |8040 | 427 | 210 |  29 |  5 |  38 |   0 | 1.366458e+05 | 1.366128e+05 |   0.02%| unknown,136612.8,0.02,0.0,0.0,0.016666666666666666
