time_sec,dual_bound,objective_value,gap_pct,raw_line,objective_value_ffill,gap_pct_ffill,delta_objective,delta_gap,time_min
2.0,324603.4,323259.0,0.42,  2.0s|     1 |     0 |  3278 |     - |   264M |   0 |  20k| 677 | 671 |   0 |  0 |   6 |   0 | 3.246034e+05 | 3.232590e+05 |   0.42%| unknown,323259.0,0.42,0.0,0.0,0.03333333333333333
2.0,324603.4,323259.0,0.42,  2.0s|     1 |     0 |  3373 |     - |   278M |   0 |  20k| 677 | 689 |  18 |  1 |   6 |   0 | 3.246034e+05 | 3.232590e+05 |   0.42%| unknown,323259.0,0.42,0.0,0.0,0.03333333333333333
2.0,324603.4,323259.0,0.42,  2.0s|     1 |     0 |  3463 |     - |   279M |   0 |  20k| 677 | 707 |  36 |  2 |   6 |   0 | 3.246034e+05 | 3.232590e+05 |   0.42%| unknown,323259.0,0.42,0.0,0.0,0.03333333333333333
2.0,324603.4,323259.0,0.42,  2.0s|     1 |     0 |  3559 |     - |   281M |   0 |  20k| 677 | 726 |  55 |  3 |   6 |   0 | 3.246034e+05 | 3.232590e+05 |   0.42%| unknown,323259.0,0.42,0.0,0.0,0.03333333333333333
3.0,324603.4,323259.0,0.42,  3.0s|     1 |     0 |  3723 |     - |   288M |   0 |  20k| 677 | 745 |  74 |  4 |   6 |   0 | 3.246034e+05 | 3.232590e+05 |   0.42%| unknown,323259.0,0.42,0.0,0.0,0.05
3.0,324603.4,323259.0,0.42,  3.0s|     1 |     0 |  3994 |     - |   291M |   0 |  20k| 677 | 764 |  93 |  5 |   6 |   0 | 3.246034e+05 | 3.232590e+05 |   0.42%| unknown,323259.0,0.42,0.0,0.0,0.05
3.0,324603.4,323259.0,0.42,  3.0s|     1 |     0 |  4386 |     - |   296M |   0 |  20k| 677 | 782 | 111 |  6 |   6 |   0 | 3.246034e+05 | 3.232590e+05 |   0.42%| unknown,323259.0,0.42,0.0,0.0,0.05
4.0,324603.4,323259.0,0.42,  4.0s|     1 |     0 |  4594 |     - |   297M |   0 |  20k| 677 | 798 | 127 |  7 |   6 |   0 | 3.246034e+05 | 3.232590e+05 |   0.42%| unknown,323259.0,0.42,0.0,0.0,0.06666666666666667
4.0,324603.4,323259.0,0.42,  4.0s|     1 |     0 |  4813 |     - |   301M |   0 |  20k| 677 | 818 | 147 |  8 |   6 |   0 | 3.246034e+05 | 3.232590e+05 |   0.42%| unknown,323259.0,0.42,0.0,0.0,0.06666666666666667
4.0,324603.4,323259.0,0.42,  4.0s|     1 |     0 |  5047 |     - |   303M |   0 |  20k| 677 | 835 | 164 |  9 |   6 |   0 | 3.246034e+05 | 3.232590e+05 |   0.42%| unknown,323259.0,0.42,0.0,0.0,0.06666666666666667
5.0,324603.4,323259.0,0.42,  5.0s|     1 |     0 |  5457 |     - |   305M |   0 |  20k| 677 | 852 | 181 | 10 |   6 |   0 | 3.246034e+05 | 3.232590e+05 |   0.42%| unknown,323259.0,0.42,0.0,0.0,0.08333333333333333
5.0,324603.4,323259.0,0.42,  5.0s|     1 |     0 |  5750 |     - |   308M |   0 |  20k| 677 | 861 | 196 | 11 |   6 |   0 | 3.246034e+05 | 3.232590e+05 |   0.42%| unknown,323259.0,0.42,0.0,0.0,0.08333333333333333
14.0,324603.4,323259.0,0.42, 14.0s|     1 |     2 | 14551 |     - |   312M |   0 |  20k| 698 | 861 | 196 | 11 |  27 |  26 | 3.246034e+05 | 3.232590e+05 |   0.42%| unknown,323259.0,0.42,0.0,0.0,0.23333333333333334
68.0,324601.6,323259.0,0.42, 68.0s|   100 |    91 | 82654 | 776.8 |   360M |  21 |  20k| 726 | 752 | 497 |  1 |  68 | 587 | 3.246016e+05 | 3.232590e+05 |   0.42%| unknown,323259.0,0.42,0.0,0.0,1.1333333333333333
106.0,324601.3,323259.0,0.42,  106s|   200 |   191 |168893 | 819.8 |   382M |  25 |  20k| 730 | 750 | 711 |  1 |  82 | 789 | 3.246013e+05 | 3.232590e+05 |   0.42%| unknown,323259.0,0.42,0.0,0.0,1.7666666666666666
150.0,324601.2,323259.0,0.42,  150s|   300 |   291 |267614 | 875.8 |   394M |  25 |  20k| 731 | 749 | 916 |  2 |  91 |1045 | 3.246012e+05 | 3.232590e+05 |   0.42%| unknown,323259.0,0.42,0.0,0.0,2.5
195.0,324597.8,323259.0,0.41,  195s|   400 |   391 |368646 | 909.5 |   398M |  25 |  20k| 743 | 748 |1206 |  1 | 110 |1323 | 3.245978e+05 | 3.232590e+05 |   0.41%| unknown,323259.0,0.41,0.0,-0.010000000000000009,3.25
235.0,324597.8,323259.0,0.41,  235s|   500 |   491 |450979 | 892.2 |   399M |  25 |  20k| 748 | 770 |1406 |  1 | 120 |1592 | 3.245978e+05 | 3.232590e+05 |   0.41%| unknown,323259.0,0.41,0.0,0.0,3.9166666666666665
289.0,324597.8,323259.0,0.41,  289s|   600 |   591 |565595 | 934.6 |   401M |  25 |  20k| 769 | 774 |1723 |  1 | 146 |1882 | 3.245978e+05 | 3.232590e+05 |   0.41%| unknown,323259.0,0.41,0.0,0.0,4.816666666666666
