time_sec,dual_bound,objective_value,gap_pct,raw_line,objective_value_ffill,gap_pct_ffill,delta_objective,delta_gap,time_min
1.0,265626.8,,inf,  1.0s|     1 |     0 |  1169 |     - |   220M |   0 |  16k| 584 | 577 |   0 |  0 |   7 |   0 | 2.656268e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.016666666666666666
1.0,265626.8,,inf,  1.0s|     1 |     0 |  1433 |     - |   229M |   0 |  16k| 584 | 591 |  14 |  1 |   7 |   0 | 2.656268e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.016666666666666666
2.0,265626.8,,inf,  2.0s|     1 |     0 |  1496 |     - |   232M |   0 |  16k| 584 | 607 |  30 |  2 |   7 |   0 | 2.656268e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.03333333333333333
2.0,265626.8,,inf,  2.0s|     1 |     0 |  1575 |     - |   236M |   0 |  16k| 584 | 625 |  48 |  3 |   7 |   0 | 2.656268e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.03333333333333333
2.0,265626.8,,inf,  2.0s|     1 |     0 |  1673 |     - |   237M |   0 |  16k| 584 | 643 |  66 |  4 |   7 |   0 | 2.656268e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.03333333333333333
2.0,265626.8,,inf,  2.0s|     1 |     0 |  1790 |     - |   238M |   0 |  16k| 584 | 662 |  85 |  5 |   7 |   0 | 2.656268e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.03333333333333333
2.0,265626.8,,inf,  2.0s|     1 |     0 |  1954 |     - |   239M |   0 |  16k| 584 | 680 | 103 |  6 |   7 |   0 | 2.656268e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.03333333333333333
2.0,265626.8,,inf,  2.0s|     1 |     0 |  2102 |     - |   240M |   0 |  16k| 584 | 696 | 119 |  7 |   7 |   0 | 2.656268e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.03333333333333333
3.0,265626.8,,inf,  3.0s|     1 |     0 |  2244 |     - |   241M |   0 |  16k| 584 | 713 | 136 |  8 |   7 |   0 | 2.656268e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.05
3.0,265626.7,,inf,  3.0s|     1 |     0 |  2365 |     - |   242M |   0 |  16k| 584 | 731 | 154 |  9 |   7 |   0 | 2.656267e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.05
