1/1 feasible solution given by solution candidate storage, new primal bound 2.040379e+05

presolving:
   (0.0s) symmetry computation started: requiring (bin +, int +, cont +), (fixed: bin -, int -, cont -)
   (0.0s) symmetry computation finished: 5 generators found (max: 1500, log10 of symmetry group size: 1.68) (symcode time: 0.00)
dynamic symmetry handling statistics:
   orbitopal reduction:       no components
   orbital reduction:          1 components of sizes 5
   lexicographic reduction:    5 permutations with support sizes 120, 120, 120, 12040, 12040
handled 1 out of 1 symmetry components
presolving (0 rounds: 0 fast, 0 medium, 0 exhaustive):
 0 deleted vars, 0 deleted constraints, 0 added constraints, 0 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques
presolved problem has 18060 variables (18060 bin, 0 int, 0 impl, 0 cont) and 610 constraints
    610 constraints of type <linear>
Presolving Time: 0.00
transformed 1/1 original solutions to the transformed problem space

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  173s|  1300 |  1179 | 96013 |  72.9 |   437M |  81 |  18k| 714 | 535 |1073 |  1 | 317 |3664 | 2.044280e+05 | 2.040379e+05 |   0.19%|  11.59%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  178s|  1400 |  1279 |100705 |  71.0 |   440M |  81 |  18k| 709 | 537 |1097 |  1 | 318 |3679 | 2.044280e+05 | 2.040379e+05 |   0.19%|  11.59%
  182s|  1500 |  1379 |104286 |  68.7 |   443M |  81 |  18k| 701 | 534 |1111 |  1 | 318 |3690 | 2.044280e+05 | 2.040379e+05 |   0.19%|  11.59%
  186s|  1600 |  1479 |106089 |  65.5 |   443M |  81 |  18k| 716 | 533 |1122 |  1 | 334 |3710 | 2.044280e+05 | 2.040379e+05 |   0.19%|  11.59%
  189s|  1700 |  1577 |109357 |  63.6 |   445M |  81 |  18k| 715 | 530 |1131 |  1 | 336 |3718 | 2.044280e+05 | 2.040379e+05 |   0.19%|  11.59%
  193s|  1800 |  1677 |113764 |  62.5 |   448M |  81 |  18k| 712 | 530 |1159 |  1 | 338 |3726 | 2.044280e+05 | 2.040379e+05 |   0.19%|  11.59%
  196s|  1900 |  1777 |117493 |  61.2 |   452M |  81 |  18k| 716 | 531 |1180 |  1 | 343 |3728 | 2.044280e+05 | 2.040379e+05 |   0.19%|  11.59%
  200s|  2000 |  1877 |121498 |  60.1 |   454M |  81 |  18k| 715 | 533 |1210 |  1 | 343 |3741 | 2.044280e+05 | 2.040379e+05 |   0.19%|  11.59%
  204s|  2100 |  1977 |124472 |  58.7 |   457M |  81 |  18k| 716 | 531 |1229 |  1 | 344 |3755 | 2.044280e+05 | 2.040379e+05 |   0.19%|  11.59%
  208s|  2200 |  2077 |125918 |  56.7 |   459M |  81 |  18k| 727 | 533 |1246 |  1 | 356 |3767 | 2.044280e+05 | 2.040379e+05 |   0.19%|  11.59%
  212s|  2300 |  2177 |130708 |  56.3 |   464M |  81 |  18k| 730 | 529 |1255 |  3 | 360 |3789 | 2.044280e+05 | 2.040379e+05 |   0.19%|  11.59%
  216s|  2400 |  2275 |133894 |  55.3 |   467M |  81 |  18k| 732 | 537 |1296 |  1 | 362 |3799 | 2.044280e+05 | 2.040379e+05 |   0.19%|  11.59%
  219s|  2500 |  2375 |136404 |  54.1 |   469M |  81 |  18k| 739 | 531 |1307 |  1 | 369 |3800 | 2.044280e+05 | 2.040379e+05 |   0.19%|  11.59%
  222s|  2600 |  2475 |138407 |  52.7 |   471M |  81 |  18k| 737 | 531 |1333 |  1 | 369 |3807 | 2.044280e+05 | 2.040379e+05 |   0.19%|  11.59%
  226s|  2700 |  2575 |141698 |  52.0 |   473M |  81 |  18k| 748 | 531 |1343 |  1 | 380 |3828 | 2.044280e+05 | 2.040379e+05 |   0.19%|  11.59%
  229s|  2800 |  2675 |143907 |  50.9 |   475M |  81 |  18k| 750 | 538 |1375 |  1 | 382 |3830 | 2.044280e+05 | 2.040379e+05 |   0.19%|  11.59%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  233s|  2900 |  2775 |146645 |  50.1 |   477M |  81 |  18k| 751 | 539 |1405 |  1 | 383 |3842 | 2.044280e+05 | 2.040379e+05 |   0.19%|  11.59%
  236s|  3000 |  2873 |148714 |  49.1 |   479M |  99 |  18k| 759 | 536 |1415 |  1 | 391 |3859 | 2.044280e+05 | 2.040379e+05 |   0.19%|  11.59%
  239s|  3100 |  2973 |150868 |  48.3 |   481M |  99 |  18k| 758 | 540 |1438 |  1 | 393 |3861 | 2.044280e+05 | 2.040379e+05 |   0.19%|  11.59%
