time_sec,dual_bound,objective_value,gap_pct,raw_line,objective_value_ffill,gap_pct_ffill,delta_objective,delta_gap,time_min
0.0,202002.0,,inf,  0.0s|     1 |     0 |   620 |     - |   166M |   0 |  12k| 520 | 483 |   0 |  0 |  37 |   0 | 2.020020e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.0
0.0,202002.0,,inf,  0.0s|     1 |     0 |   810 |     - |   173M |   0 |  12k| 520 | 491 |   8 |  1 |  37 |   0 | 2.020020e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.0
0.0,202002.0,,inf,  0.0s|     1 |     0 |   850 |     - |   175M |   0 |  12k| 520 | 500 |  17 |  2 |  37 |   0 | 2.020020e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.0
1.0,202001.7,,inf,  1.0s|     1 |     0 |  1054 |     - |   178M |   0 |  12k| 520 | 510 |  27 |  3 |  37 |   0 | 2.020017e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.016666666666666666
1.0,202001.7,,inf,  1.0s|     1 |     0 |  1132 |     - |   179M |   0 |  12k| 520 | 520 |  37 |  4 |  37 |   0 | 2.020017e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.016666666666666666
1.0,202001.6,,inf,  1.0s|     1 |     0 |  1198 |     - |   181M |   0 |  12k| 520 | 530 |  47 |  5 |  37 |   0 | 2.020016e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.016666666666666666
1.0,202001.4,,inf,  1.0s|     1 |     0 |  1285 |     - |   185M |   0 |  12k| 520 | 541 |  58 |  6 |  37 |   0 | 2.020014e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.016666666666666666
1.0,202001.4,,inf,  1.0s|     1 |     0 |  1357 |     - |   186M |   0 |  12k| 520 | 550 |  67 |  7 |  37 |   0 | 2.020014e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.016666666666666666
1.0,202001.3,,inf,  1.0s|     1 |     0 |  1422 |     - |   187M |   0 |  12k| 520 | 559 |  76 |  8 |  37 |   0 | 2.020013e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.016666666666666666
1.0,202001.3,,inf,  1.0s|     1 |     0 |  1502 |     - |   188M |   0 |  12k| 521 | 568 |  85 |  9 |  38 |   0 | 2.020013e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.016666666666666666
2.0,202001.3,,inf,  2.0s|     1 |     0 |  1569 |     - |   189M |   0 |  12k| 521 | 577 |  94 | 10 |  38 |   0 | 2.020013e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.03333333333333333
2.0,202001.3,,inf,  2.0s|     1 |     0 |  1618 |     - |   190M |   0 |  12k| 521 | 586 | 103 | 11 |  38 |   0 | 2.020013e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.03333333333333333
7.0,202001.1,,inf,  7.0s|     1 |     2 |  5554 |     - |   191M |   0 |  12k| 623 | 586 | 103 | 11 | 140 |  40 | 2.020011e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.11666666666666667
31.0,202001.0,189150.2,6.79,r31.0s|    37 |    36 | 12821 | 311.2 |shifting|  14 |  12k| 622 | 545 | 180 |  2 | 150 | 986 | 2.020010e+05 | 1.891502e+05 |   6.79%| unknown,189150.2,6.79,0.0,0.0,0.5166666666666667
31.0,202001.0,200881.2,0.56,i31.0s|    37 |    33 | 12825 | 311.3 |  oneopt|  14 |  12k| 622 | 545 | 180 |  2 | 150 |1003 | 2.020010e+05 | 2.008812e+05 |   0.56%| unknown,200881.2,0.56,11731.0,-6.23,0.5166666666666667
41.0,202001.0,200881.2,0.56, 41.0s|   100 |    96 | 17844 | 163.9 |   237M |  22 |  12k| 620 | 533 | 279 |  1 | 150 |1442 | 2.020010e+05 | 2.008812e+05 |   0.56%| unknown,200881.2,0.56,0.0,0.0,0.6833333333333333
45.0,202001.0,200881.2,0.56, 45.0s|   200 |   196 | 21518 | 100.0 |   245M |  45 |  12k| 635 | 533 | 288 |  1 | 165 |1590 | 2.020010e+05 | 2.008812e+05 |   0.56%| unknown,200881.2,0.56,0.0,0.0,0.75
47.0,202001.0,201123.2,0.44,L47.0s|   237 |   229 | 22568 |  88.8 |crossove|  55 |  12k| 641 | 541 | 310 |  1 | 171 |1636 | 2.020010e+05 | 2.011232e+05 |   0.44%| unknown,201123.2,0.44,242.0,-0.12000000000000005,0.7833333333333333
49.0,202001.0,201123.2,0.44, 49.0s|   300 |   292 | 23347 |  72.7 |   259M |  63 |  12k| 646 | 543 | 334 |  2 | 176 |1689 | 2.020010e+05 | 2.011232e+05 |   0.44%| unknown,201123.2,0.44,0.0,0.0,0.8166666666666667
