time_sec,dual_bound,objective_value,gap_pct,raw_line,objective_value_ffill,gap_pct_ffill,delta_objective,delta_gap,time_min
1.0,324603.4,,inf,  1.0s|     1 |     0 |  3278 |     - |   272M |   0 |  20k| 678 | 671 |   0 |  0 |   7 |   0 | 3.246034e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.016666666666666666
2.0,324603.4,,inf,  2.0s|     1 |     0 |  3611 |     - |   286M |   0 |  20k| 678 | 689 |  18 |  1 |   7 |   0 | 3.246034e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.03333333333333333
2.0,324603.4,,inf,  2.0s|     1 |     0 |  3701 |     - |   287M |   0 |  20k| 678 | 707 |  36 |  2 |   7 |   0 | 3.246034e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.03333333333333333
2.0,324603.4,,inf,  2.0s|     1 |     0 |  3797 |     - |   290M |   0 |  20k| 678 | 726 |  55 |  3 |   7 |   0 | 3.246034e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.03333333333333333
3.0,324603.4,,inf,  3.0s|     1 |     0 |  3961 |     - |   297M |   0 |  20k| 678 | 745 |  74 |  4 |   7 |   0 | 3.246034e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.05
3.0,324603.4,,inf,  3.0s|     1 |     0 |  4232 |     - |   298M |   0 |  20k| 678 | 764 |  93 |  5 |   7 |   0 | 3.246034e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.05
3.0,324603.4,,inf,  3.0s|     1 |     0 |  4624 |     - |   302M |   0 |  20k| 678 | 782 | 111 |  6 |   7 |   0 | 3.246034e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.05
3.0,324603.4,,inf,  3.0s|     1 |     0 |  4832 |     - |   304M |   0 |  20k| 678 | 798 | 127 |  7 |   7 |   0 | 3.246034e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.05
4.0,324603.4,,inf,  4.0s|     1 |     0 |  5051 |     - |   308M |   0 |  20k| 678 | 818 | 147 |  8 |   7 |   0 | 3.246034e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.06666666666666667
4.0,324603.4,,inf,  4.0s|     1 |     0 |  5285 |     - |   310M |   0 |  20k| 678 | 835 | 164 |  9 |   7 |   0 | 3.246034e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.06666666666666667
4.0,324603.4,,inf,  4.0s|     1 |     0 |  5695 |     - |   312M |   0 |  20k| 678 | 852 | 181 | 10 |   7 |   0 | 3.246034e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.06666666666666667
5.0,324603.4,,inf,  5.0s|     1 |     0 |  5988 |     - |   314M |   0 |  20k| 678 | 867 | 196 | 11 |   7 |   0 | 3.246034e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.08333333333333333
12.0,324603.4,,inf, 12.0s|     1 |     2 | 17463 |     - |   317M |   0 |  20k| 737 | 867 | 196 | 11 |  66 |  23 | 3.246034e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.2
74.0,324601.6,,inf, 74.0s|   100 |    97 | 99858 | 948.2 |   376M |  17 |  20k| 749 | 734 | 542 |  1 |  94 | 555 | 3.246016e+05 |      --      |    Inf | unknown,,,0.0,0.0,1.2333333333333334
106.0,324601.6,,inf,  106s|   200 |   195 |155750 | 752.6 |   400M |  21 |  20k| 763 | 756 | 790 |  1 | 113 | 670 | 3.246016e+05 |      --      |    Inf | unknown,,,0.0,0.0,1.7666666666666666
143.0,324601.6,,inf,  143s|   300 |   291 |242135 | 789.8 |   405M |  27 |  20k| 809 | 764 | 974 |  1 | 167 | 840 | 3.246016e+05 |      --      |    Inf | unknown,,,0.0,0.0,2.3833333333333333
183.0,324596.9,,inf,  183s|   400 |   391 |320384 | 788.0 |   416M |  27 |  20k| 818 | 749 |1212 |  1 | 181 |1076 | 3.245969e+05 |      --      |    Inf | unknown,,,0.0,0.0,3.05
224.0,324596.8,,inf,  224s|   500 |   491 |403852 | 797.3 |   411M |  27 |  20k| 837 | 751 |1344 |  2 | 207 |1288 | 3.245968e+05 |      --      |    Inf | unknown,,,0.0,0.0,3.7333333333333334
253.0,324596.8,,inf,  253s|   600 |   589 |465807 | 767.6 |   411M |  27 |  20k| 859 | 746 |1501 |  1 | 237 |1446 | 3.245968e+05 |      --      |    Inf | unknown,,,0.0,0.0,4.216666666666667
276.0,324596.8,,inf,  276s|   700 |   689 |521767 | 737.9 |   412M |  31 |  20k| 873 | 759 |1686 |  1 | 258 |1543 | 3.245968e+05 |      --      |    Inf | unknown,,,0.0,0.0,4.6
291.0,324596.8,,inf,  291s|   800 |   789 |549471 | 680.2 |   414M |  31 |  20k| 912 | 759 |1790 |  1 | 297 |1634 | 3.245968e+05 |      --      |    Inf | unknown,,,0.0,0.0,4.85
