time_sec,dual_bound,objective_value,gap_pct,raw_line,objective_value_ffill,gap_pct_ffill,delta_objective,delta_gap,time_min
0.0,136646.5,136555.3,0.07,  0.0s|     1 |     0 |   242 |     - |   109M |   0 |8040 | 427 | 389 |   0 |  0 |  38 |   0 | 1.366465e+05 | 1.365553e+05 |   0.07%| unknown,136555.3,0.07,0.0,0.0,0.0
0.0,136646.5,136555.3,0.07,  0.0s|     1 |     0 |   242 |     - |   109M |   0 |8040 | 427 | 235 |   0 |  0 |  38 |   0 | 1.366465e+05 | 1.365553e+05 |   0.07%| unknown,136555.3,0.07,0.0,0.0,0.0
0.0,136646.5,136555.3,0.07,  0.0s|     1 |     0 |   249 |     - |   113M |   0 |8040 | 427 | 240 |   5 |  1 |  38 |   0 | 1.366465e+05 | 1.365553e+05 |   0.07%| unknown,136555.3,0.07,0.0,0.0,0.0
0.0,136646.1,136555.3,0.07,  0.0s|     1 |     0 |   278 |     - |   113M |   0 |8040 | 427 | 245 |  10 |  2 |  38 |   0 | 1.366461e+05 | 1.365553e+05 |   0.07%| unknown,136555.3,0.07,0.0,0.0,0.0
0.0,136646.1,136555.3,0.07,  0.0s|     1 |     0 |   278 |     - |   114M |   0 |8040 | 427 | 245 |  10 |  2 |  38 |   0 | 1.366461e+05 | 1.365553e+05 |   0.07%| unknown,136555.3,0.07,0.0,0.0,0.0
0.0,136646.0,136555.3,0.07,  0.0s|     1 |     0 |   314 |     - |   115M |   0 |8040 | 427 | 251 |  16 |  3 |  38 |   0 | 1.366460e+05 | 1.365553e+05 |   0.07%| unknown,136555.3,0.07,0.0,0.0,0.0
0.0,136645.8,136555.3,0.07,  0.0s|     1 |     0 |   348 |     - |   115M |   0 |8040 | 427 | 255 |  20 |  4 |  38 |   0 | 1.366458e+05 | 1.365553e+05 |   0.07%| unknown,136555.3,0.07,0.0,0.0,0.0
0.0,136645.8,136555.3,0.07,  0.0s|     1 |     0 |   348 |     - |   115M |   0 |8040 | 427 | 255 |  20 |  4 |  38 |   0 | 1.366458e+05 | 1.365553e+05 |   0.07%| unknown,136555.3,0.07,0.0,0.0,0.0
0.0,136645.8,136555.3,0.07,  0.0s|     1 |     0 |   388 |     - |   115M |   0 |8040 | 427 | 261 |  26 |  5 |  38 |   0 | 1.366458e+05 | 1.365553e+05 |   0.07%| unknown,136555.3,0.07,0.0,0.0,0.0
0.0,136645.8,136555.3,0.07,  0.0s|     1 |     0 |   388 |     - |   115M |   0 |8040 | 427 | 261 |  26 |  5 |  38 |   0 | 1.366458e+05 | 1.365553e+05 |   0.07%| unknown,136555.3,0.07,0.0,0.0,0.0
0.0,136645.8,136555.3,0.07,  0.0s|     1 |     0 |   412 |     - |   115M |   0 |8040 | 427 | 265 |  30 |  6 |  38 |   0 | 1.366458e+05 | 1.365553e+05 |   0.07%| unknown,136555.3,0.07,0.0,0.0,0.0
0.0,136645.8,136555.3,0.07,  0.0s|     1 |     0 |   428 |     - |   116M |   0 |8040 | 427 | 270 |  35 |  7 |  38 |   0 | 1.366458e+05 | 1.365553e+05 |   0.07%| unknown,136555.3,0.07,0.0,0.0,0.0
0.0,136645.8,136555.3,0.07,  0.0s|     1 |     0 |   447 |     - |   116M |   0 |8040 | 427 | 275 |  40 |  8 |  38 |   0 | 1.366458e+05 | 1.365553e+05 |   0.07%| unknown,136555.3,0.07,0.0,0.0,0.0
0.0,136645.7,136555.3,0.07,  0.0s|     1 |     0 |   472 |     - |   116M |   0 |8040 | 427 | 280 |  45 |  9 |  38 |   0 | 1.366457e+05 | 1.365553e+05 |   0.07%| unknown,136555.3,0.07,0.0,0.0,0.0
1.0,136645.7,136555.3,0.07,  1.0s|     1 |     0 |   506 |     - |   117M |   0 |8040 | 428 | 284 |  49 | 10 |  39 |   0 | 1.366457e+05 | 1.365553e+05 |   0.07%| unknown,136555.3,0.07,0.0,0.0,0.016666666666666666
1.0,136645.7,136555.3,0.07,  1.0s|     1 |     0 |   506 |     - |   117M |   0 |8040 | 428 | 284 |  49 | 10 |  39 |   0 | 1.366457e+05 | 1.365553e+05 |   0.07%| unknown,136555.3,0.07,0.0,0.0,0.016666666666666666
1.0,136645.7,136555.3,0.07,  1.0s|     1 |     0 |   552 |     - |   117M |   0 |8040 | 428 | 287 |  54 | 11 |  39 |   0 | 1.366457e+05 | 1.365553e+05 |   0.07%| unknown,136555.3,0.07,0.0,0.0,0.016666666666666666
2.0,136644.4,136555.3,0.07,  2.0s|     1 |     2 |  1379 |     - |   118M |   0 |8040 | 284 | 287 |  54 | 11 |  49 |  24 | 1.366444e+05 | 1.365553e+05 |   0.07%| unknown,136555.3,0.07,0.0,0.0,0.03333333333333333
9.0,136640.7,136555.3,0.06,  9.0s|   100 |    95 |  4086 |  35.7 |   134M |  21 |8040 | 296 | 271 | 115 |  1 |  61 | 696 | 1.366407e+05 | 1.365553e+05 |   0.06%|  49.28%,136555.3,0.06,0.0,-0.010000000000000009,0.15
13.0,136640.7,136555.3,0.06, 13.0s|   200 |   193 |  6624 |  30.5 |   146M |  23 |8040 | 301 | 267 | 178 |  1 |  67 | 951 | 1.366407e+05 | 1.365553e+05 |   0.06%|  49.28%,136555.3,0.06,0.0,0.0,0.21666666666666667
15.0,136640.7,136555.3,0.06, 15.0s|   300 |   291 |  8267 |  25.8 |   155M |  31 |8040 | 301 | 275 | 239 |  1 |  67 |1089 | 1.366407e+05 | 1.365553e+05 |   0.06%|  49.28%,136555.3,0.06,0.0,0.0,0.25
20.0,136640.7,136555.3,0.06, 20.0s|   400 |   383 | 11713 |  28.0 |   164M |  31 |8040 | 306 | 268 | 332 |  1 |  77 |1523 | 1.366407e+05 | 1.365553e+05 |   0.06%|  49.28%,136555.3,0.06,0.0,0.0,0.3333333333333333
22.0,136640.7,136555.3,0.06, 22.0s|   500 |   483 | 13969 |  26.9 |   166M |  31 |8040 | 305 | 273 | 378 |  2 |  77 |1704 | 1.366407e+05 | 1.365553e+05 |   0.06%|  49.28%,136555.3,0.06,0.0,0.0,0.36666666666666664
24.0,136640.7,136555.3,0.06, 24.0s|   600 |   573 | 15738 |  25.4 |   168M |  35 |8040 | 321 | 278 | 412 |  1 |  94 |1860 | 1.366407e+05 | 1.365553e+05 |   0.06%|  49.28%,136555.3,0.06,0.0,0.0,0.4
27.0,136640.7,136555.3,0.06, 27.0s|   700 |   673 | 24686 |  34.5 |   168M |  35 |8040 | 320 | 271 | 444 |  1 |  94 |1922 | 1.366407e+05 | 1.365553e+05 |   0.06%|  49.28%,136555.3,0.06,0.0,0.0,0.45
29.0,136640.7,136555.3,0.06, 29.0s|   800 |   773 | 26627 |  32.6 |   172M |  41 |8040 | 338 | 273 | 466 |  1 | 112 |2072 | 1.366407e+05 | 1.365553e+05 |   0.06%|  49.28%,136555.3,0.06,0.0,0.0,0.48333333333333334
31.0,136640.7,136555.3,0.06, 31.0s|   900 |   873 | 29048 |  31.7 |   173M |  41 |8040 | 334 | 275 | 520 |  1 | 113 |2231 | 1.366407e+05 | 1.365553e+05 |   0.06%|  49.28%,136555.3,0.06,0.0,0.0,0.5166666666666667
33.0,136640.7,136555.3,0.06, 33.0s|  1000 |   969 | 30625 |  30.1 |   175M |  41 |8040 | 327 | 273 | 562 |  1 | 113 |2377 | 1.366407e+05 | 1.365553e+05 |   0.06%|  49.28%,136555.3,0.06,0.0,0.0,0.55
34.0,136640.7,136555.3,0.06, 34.0s|  1100 |  1067 | 32824 |  29.4 |   176M |  41 |8040 | 327 | 275 | 604 |  1 | 116 |2583 | 1.366407e+05 | 1.365553e+05 |   0.06%|  49.28%,136555.3,0.06,0.0,0.0,0.5666666666666667
35.0,136640.7,136555.3,0.06, 35.0s|  1200 |  1161 | 34023 |  27.9 |   177M |  41 |8040 | 326 | 274 | 632 |  1 | 117 |2634 | 1.366407e+05 | 1.365553e+05 |   0.06%|  49.28%,136555.3,0.06,0.0,0.0,0.5833333333333334
37.0,136640.7,136555.3,0.06, 37.0s|  1300 |  1253 | 36298 |  27.5 |   178M |  41 |8040 | 325 | 277 | 668 |  1 | 117 |2806 | 1.366407e+05 | 1.365553e+05 |   0.06%|  49.28%,136555.3,0.06,0.0,0.0,0.6166666666666667
38.0,136640.7,136555.3,0.06, 38.0s|  1400 |  1351 | 37727 |  26.6 |   179M |  41 |8040 | 325 | 277 | 714 |  1 | 117 |2857 | 1.366407e+05 | 1.365553e+05 |   0.06%|  49.28%,136555.3,0.06,0.0,0.0,0.6333333333333333
40.0,136640.7,136555.3,0.06, 40.0s|  1500 |  1447 | 39587 |  26.0 |   180M |  41 |8040 | 326 | 278 | 747 |  1 | 119 |3019 | 1.366407e+05 | 1.365553e+05 |   0.06%|  49.28%,136555.3,0.06,0.0,0.0,0.6666666666666666
41.0,136640.7,136555.3,0.06, 41.0s|  1600 |  1537 | 41659 |  25.7 |   181M |  41 |8040 | 335 | 276 | 769 |  1 | 129 |3161 | 1.366407e+05 | 1.365553e+05 |   0.06%|  49.28%,136555.3,0.06,0.0,0.0,0.6833333333333333
43.0,136640.7,136555.3,0.06, 43.0s|  1700 |  1633 | 43298 |  25.2 |   182M |  41 |8040 | 344 | 275 | 786 |  1 | 141 |3382 | 1.366407e+05 | 1.365553e+05 |   0.06%|  49.28%,136555.3,0.06,0.0,0.0,0.7166666666666667
45.0,136640.7,136555.3,0.06, 45.0s|  1800 |  1733 | 46806 |  25.7 |   184M |  41 |8040 | 350 | 272 | 809 |  8 | 148 |3618 | 1.366407e+05 | 1.365553e+05 |   0.06%|  49.28%,136555.3,0.06,0.0,0.0,0.75
47.0,136640.7,136555.3,0.06, 47.0s|  1900 |  1831 | 48735 |  25.4 |   185M |  41 |8040 | 352 | 280 | 842 |  1 | 151 |3918 | 1.366407e+05 | 1.365553e+05 |   0.06%|  49.28%,136555.3,0.06,0.0,0.0,0.7833333333333333
49.0,136640.7,136555.3,0.06, 49.0s|  2000 |  1931 | 50535 |  25.0 |   186M |  41 |8040 | 351 | 277 | 863 |  1 | 151 |4066 | 1.366407e+05 | 1.365553e+05 |   0.06%|  49.28%,136555.3,0.06,0.0,0.0,0.8166666666666667
51.0,136640.7,136555.3,0.06, 51.0s|  2100 |  2029 | 52060 |  24.5 |   188M |  55 |8040 | 351 | 277 | 887 | 20 | 151 |4165 | 1.366407e+05 | 1.365553e+05 |   0.06%|  49.28%,136555.3,0.06,0.0,0.0,0.85
53.0,136640.7,136555.3,0.06, 53.0s|  2200 |  2125 | 53567 |  24.1 |   189M |  55 |8040 | 350 | 274 | 937 |  5 | 152 |4229 | 1.366407e+05 | 1.365553e+05 |   0.06%|  49.28%,136555.3,0.06,0.0,0.0,0.8833333333333333
55.0,136640.7,136555.3,0.06, 55.0s|  2300 |  2221 | 55214 |  23.8 |   194M |  55 |8040 | 350 | 272 | 969 |  1 | 155 |4349 | 1.366407e+05 | 1.365553e+05 |   0.06%|  49.28%,136555.3,0.06,0.0,0.0,0.9166666666666666
58.0,136640.7,136555.3,0.06, 58.0s|  2400 |  2321 | 57008 |  23.5 |   204M |  55 |8040 | 353 | 276 |1025 |  1 | 159 |4475 | 1.366407e+05 | 1.365553e+05 |   0.06%|  49.29%,136555.3,0.06,0.0,0.0,0.9666666666666667
61.0,136640.7,136555.3,0.06, 61.0s|  2500 |  2421 | 58510 |  23.2 |   220M |  55 |8040 | 355 | 272 |1090 |  1 | 161 |4651 | 1.366407e+05 | 1.365553e+05 |   0.06%|  49.29%,136555.3,0.06,0.0,0.0,1.0166666666666666
63.0,136640.7,136555.3,0.06, 63.0s|  2600 |  2517 | 60021 |  22.9 |   221M |  55 |8040 | 358 | 275 |1120 |  1 | 164 |4830 | 1.366407e+05 | 1.365553e+05 |   0.06%|  49.29%,136555.3,0.06,0.0,0.0,1.05
65.0,136640.7,136555.3,0.06, 65.0s|  2700 |  2613 | 61546 |  22.6 |   223M |  55 |8040 | 357 | 270 |1143 |  1 | 164 |4927 | 1.366407e+05 | 1.365553e+05 |   0.06%|  49.29%,136555.3,0.06,0.0,0.0,1.0833333333333333
67.0,136640.7,136555.3,0.06, 67.0s|  2800 |  2711 | 63521 |  22.5 |   224M |  55 |8040 | 357 | 275 |1174 |  1 | 164 |4998 | 1.366407e+05 | 1.365553e+05 |   0.06%|  49.29%,136555.3,0.06,0.0,0.0,1.1166666666666667
68.0,136640.7,136555.3,0.06, 68.0s|  2900 |  2809 | 64712 |  22.1 |   225M |  55 |8040 | 357 | 273 |1202 |  1 | 164 |5057 | 1.366407e+05 | 1.365553e+05 |   0.06%|  49.29%,136555.3,0.06,0.0,0.0,1.1333333333333333
70.0,136640.7,136555.3,0.06, 70.0s|  3000 |  2903 | 66127 |  21.9 |   227M |  55 |8040 | 356 | 275 |1260 |  1 | 164 |5146 | 1.366407e+05 | 1.365553e+05 |   0.06%|  49.29%,136555.3,0.06,0.0,0.0,1.1666666666666667
73.0,136640.7,136555.3,0.06, 73.0s|  3100 |  2995 | 67401 |  21.6 |   229M |  55 |8040 | 356 | 277 |1342 |  2 | 164 |5255 | 1.366407e+05 | 1.365553e+05 |   0.06%|  49.29%,136555.3,0.06,0.0,0.0,1.2166666666666666
75.0,136640.7,136555.3,0.06, 75.0s|  3200 |  3091 | 68863 |  21.4 |   245M |  55 |8040 | 362 | 287 |1420 | 20 | 170 |5340 | 1.366407e+05 | 1.365553e+05 |   0.06%|  49.29%,136555.3,0.06,0.0,0.0,1.25
77.0,136640.7,136555.3,0.06, 77.0s|  3300 |  3187 | 70948 |  21.3 |   249M |  55 |8040 | 363 | 276 |1491 |  1 | 171 |5503 | 1.366407e+05 | 1.365553e+05 |   0.06%|  49.29%,136555.3,0.06,0.0,0.0,1.2833333333333334
79.0,136640.7,136555.3,0.06, 79.0s|  3400 |  3287 | 72605 |  21.2 |   250M |  55 |8040 | 376 | 275 |1509 |  1 | 189 |5579 | 1.366407e+05 | 1.365553e+05 |   0.06%|  49.29%,136555.3,0.06,0.0,0.0,1.3166666666666667
81.0,136640.7,136555.3,0.06, 81.0s|  3500 |  3385 | 74440 |  21.1 |   253M |  55 |8040 | 375 | 278 |1559 |  1 | 189 |5637 | 1.366407e+05 | 1.365553e+05 |   0.06%|  49.29%,136555.3,0.06,0.0,0.0,1.35
83.0,136640.7,136555.3,0.06, 83.0s|  3600 |  3485 | 76035 |  21.0 |   256M |  55 |8040 | 382 | 272 |1592 |  1 | 199 |5805 | 1.366407e+05 | 1.365553e+05 |   0.06%|  49.29%,136555.3,0.06,0.0,0.0,1.3833333333333333
91.0,136640.7,136555.3,0.06, 91.0s|  3700 |  3579 | 78365 |  21.0 |   285M |  55 |8040 | 392 | 276 |1783 |  1 | 213 |5987 | 1.366407e+05 | 1.365553e+05 |   0.06%|  49.29%,136555.3,0.06,0.0,0.0,1.5166666666666666
93.0,136640.7,136555.3,0.06, 93.0s|  3800 |  3677 | 79651 |  20.8 |   286M |  55 |8040 | 391 | 274 |1807 |  1 | 214 |6136 | 1.366407e+05 | 1.365553e+05 |   0.06%|  49.29%,136555.3,0.06,0.0,0.0,1.55
94.0,136640.7,136555.3,0.06, 94.0s|  3900 |  3775 | 81214 |  20.7 |   287M |  55 |8040 | 392 | 273 |1826 |  1 | 215 |6214 | 1.366407e+05 | 1.365553e+05 |   0.06%|  49.29%,136555.3,0.06,0.0,0.0,1.5666666666666667
