time_sec,dual_bound,objective_value,gap_pct,raw_line,objective_value_ffill,gap_pct_ffill,delta_objective,delta_gap,time_min
16.0,615774.5,,inf, 16.0s|     1 |     0 | 18609 |     - |   692M |   0 |  60k|1245 |1241 |   0 |  0 |   4 |   0 | 6.157745e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.26666666666666666
19.0,615774.5,,inf, 19.0s|     1 |     0 | 20112 |     - |   724M |   0 |  60k|1245 |1282 |  41 |  1 |   4 |   0 | 6.157745e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.31666666666666665
21.0,615774.5,,inf, 21.0s|     1 |     0 | 20742 |     - |   733M |   0 |  60k|1245 |1320 |  79 |  2 |   4 |   0 | 6.157745e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.35
22.0,615774.5,,inf, 22.0s|     1 |     0 | 21632 |     - |   739M |   0 |  60k|1245 |1361 | 120 |  3 |   4 |   0 | 6.157745e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.36666666666666664
25.0,615774.5,,inf, 25.0s|     1 |     0 | 23060 |     - |   748M |   0 |  60k|1245 |1400 | 159 |  4 |   4 |   0 | 6.157745e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.4166666666666667
27.0,615774.5,,inf, 27.0s|     1 |     0 | 24423 |     - |   752M |   0 |  60k|1245 |1433 | 192 |  5 |   4 |   0 | 6.157745e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.45
30.0,615774.5,,inf, 30.0s|     1 |     0 | 25627 |     - |   757M |   0 |  60k|1245 |1468 | 227 |  6 |   4 |   0 | 6.157745e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.5
33.0,615774.5,,inf, 33.0s|     1 |     0 | 27044 |     - |   761M |   0 |  60k|1245 |1499 | 258 |  7 |   4 |   0 | 6.157745e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.55
36.0,615774.5,,inf, 36.0s|     1 |     0 | 28393 |     - |   766M |   0 |  60k|1245 |1530 | 289 |  8 |   4 |   0 | 6.157745e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.6
39.0,615774.5,,inf, 39.0s|     1 |     0 | 30591 |     - |   768M |   0 |  60k|1245 |1560 | 319 |  9 |   4 |   0 | 6.157745e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.65
42.0,615774.5,,inf, 42.0s|     1 |     0 | 32124 |     - |   769M |   0 |  60k|1245 |1590 | 349 | 10 |   4 |   0 | 6.157745e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.7
45.0,615774.5,,inf, 45.0s|     1 |     0 | 33235 |     - |   773M |   0 |  60k|1245 |1606 | 379 | 11 |   4 |   0 | 6.157745e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.75
109.0,615774.5,,inf,  109s|     1 |     0 | 72660 |     - |   783M |   0 |  60k|1341 |1606 | 379 | 11 | 101 |  20 | 6.157745e+05 |      --      |    Inf | unknown,,,0.0,0.0,1.8166666666666667
112.0,615774.5,,inf,  112s|     1 |     0 | 74265 |     - |   787M |   0 |  60k|1341 |1637 | 410 | 12 | 101 |  20 | 6.157745e+05 |      --      |    Inf | unknown,,,0.0,0.0,1.8666666666666667
113.0,615774.5,,inf,  113s|     1 |     0 | 74610 |     - |   787M |   0 |  60k|1340 |1667 | 440 | 13 | 101 |  20 | 6.157745e+05 |      --      |    Inf | unknown,,,0.0,0.0,1.8833333333333333
127.0,615774.5,,inf,  127s|     1 |     2 | 74610 |     - |   787M |   0 |  60k|1339 |1667 | 440 | 13 | 101 |  39 | 6.157745e+05 |      --      |    Inf | unknown,,,0.0,0.0,2.1166666666666667
