case_tag,i_value,v_value,time_limit_sec,return_code,elapsed_sec,input_file,output_file,log_file
i200v4t300,200,4,300,0,304.909,D:\研一上\研究课题\bld\bld_new\greedy_warmstart_parallel\parallel_runs\inputs\i200v4t300_input.xlsx,D:\研一上\研究课题\bld\bld_new\greedy_warmstart_parallel\parallel_runs\outputs\i200v4t300.xlsx,D:\研一上\研究课题\bld\bld_new\greedy_warmstart_parallel\parallel_runs\logs\i200v4t300.log
i200v5t300,200,5,300,0,305.560,D:\研一上\研究课题\bld\bld_new\greedy_warmstart_parallel\parallel_runs\inputs\i200v5t300_input.xlsx,D:\研一上\研究课题\bld\bld_new\greedy_warmstart_parallel\parallel_runs\outputs\i200v5t300.xlsx,D:\研一上\研究课题\bld\bld_new\greedy_warmstart_parallel\parallel_runs\logs\i200v5t300.log
i300v10t300,300,10,300,0,308.088,D:\研一上\研究课题\bld\bld_new\greedy_warmstart_parallel\parallel_runs\inputs\i300v10t300_input.xlsx,D:\研一上\研究课题\bld\bld_new\greedy_warmstart_parallel\parallel_runs\outputs\i300v10t300.xlsx,D:\研一上\研究课题\bld\bld_new\greedy_warmstart_parallel\parallel_runs\logs\i300v10t300.log
