time_sec,dual_bound,objective_value,gap_pct,raw_line,objective_value_ffill,gap_pct_ffill,delta_objective,delta_gap,time_min
3.0,137973.2,137882.1,0.07,  3.0s|     1 |     0 |   444 |     - |   174M |   0 |  12k| 639 | 279 |  38 |  7 | 152 |   0 | 1.379732e+05 | 1.378821e+05 |   0.07%| unknown,137882.1,0.07,0.0,0.0,0.05
3.0,137973.2,137882.1,0.07,  3.0s|     1 |     0 |   458 |     - |   174M |   0 |  12k| 637 | 283 |  42 |  8 | 152 |   0 | 1.379732e+05 | 1.378821e+05 |   0.07%| unknown,137882.1,0.07,0.0,0.0,0.05
3.0,137973.2,137882.1,0.07,  3.0s|     1 |     0 |   487 |     - |   174M |   0 |  12k| 637 | 288 |  47 |  9 | 152 |   0 | 1.379732e+05 | 1.378821e+05 |   0.07%| unknown,137882.1,0.07,0.0,0.0,0.05
3.0,137973.2,137882.1,0.07,  3.0s|     1 |     0 |   543 |     - |   175M |   0 |  12k| 637 | 293 |  52 | 10 | 152 |   0 | 1.379732e+05 | 1.378821e+05 |   0.07%| unknown,137882.1,0.07,0.0,0.0,0.05
3.0,137973.1,137882.1,0.07,  3.0s|     1 |     0 |   632 |     - |   175M |   0 |  12k| 637 | 295 |  56 | 11 | 152 |   0 | 1.379731e+05 | 1.378821e+05 |   0.07%| unknown,137882.1,0.07,0.0,0.0,0.05
3.0,137973.1,137882.1,0.07,  3.0s|     1 |     0 |   632 |     - |   175M |   0 |  12k| 637 | 295 |  56 | 11 | 152 |   0 | 1.379731e+05 | 1.378821e+05 |   0.07%| unknown,137882.1,0.07,0.0,0.0,0.05
6.0,137971.8,137882.1,0.07,  6.0s|     1 |     2 |  1795 |     - |   178M |   0 |  12k| 401 | 295 |  56 | 11 | 164 |  30 | 1.379718e+05 | 1.378821e+05 |   0.07%| unknown,137882.1,0.07,0.0,0.0,0.1
16.0,137968.5,137882.1,0.06, 16.0s|   100 |    85 |  4234 |  36.4 |   195M |  31 |  12k| 402 | 271 | 130 |  1 | 180 | 725 | 1.379685e+05 | 1.378821e+05 |   0.06%|  52.72%,137882.1,0.06,0.0,-0.010000000000000009,0.26666666666666666
21.0,137968.5,137882.1,0.06, 21.0s|   200 |   179 |  5920 |  26.6 |   202M |  32 |  12k| 403 | 273 | 143 |  1 | 181 | 952 | 1.379685e+05 | 1.378821e+05 |   0.06%|  52.72%,137882.1,0.06,0.0,0.0,0.35
26.0,137968.5,137882.1,0.06, 26.0s|   300 |   269 |  7595 |  23.3 |   208M |  37 |  12k| 405 | 273 | 150 |  1 | 192 |1273 | 1.379685e+05 | 1.378821e+05 |   0.06%|  52.72%,137882.1,0.06,0.0,0.0,0.43333333333333335
31.0,137968.5,137882.1,0.06, 31.0s|   400 |   359 |  8718 |  20.3 |   209M |  39 |  12k| 410 | 272 | 152 |  1 | 198 |1623 | 1.379685e+05 | 1.378821e+05 |   0.06%|  52.72%,137882.1,0.06,0.0,0.0,0.5166666666666667
36.0,137968.5,137882.1,0.06, 36.0s|   500 |   441 | 11501 |  21.8 |   215M |  48 |  12k| 434 | 272 | 187 |  1 | 223 |1713 | 1.379685e+05 | 1.378821e+05 |   0.06%|  52.72%,137882.1,0.06,0.0,0.0,0.6
43.0,137968.5,137882.1,0.06, 43.0s|   600 |   527 | 13555 |  21.6 |   225M |  53 |  12k| 447 | 285 | 255 |167 | 246 |2270 | 1.379685e+05 | 1.378821e+05 |   0.06%|  52.73%,137882.1,0.06,0.0,0.0,0.7166666666666667
46.0,137968.5,137882.1,0.06, 46.0s|   700 |   613 | 15049 |  20.6 |   228M |  77 |  12k| 452 | 271 | 285 |  1 | 264 |2373 | 1.379685e+05 | 1.378821e+05 |   0.06%|  52.73%,137882.1,0.06,0.0,0.0,0.7666666666666667
51.0,137968.5,137882.1,0.06, 51.0s|   800 |   709 | 16732 |  20.2 |   239M |  77 |  12k| 455 | 286 | 364 |  1 | 267 |2568 | 1.379685e+05 | 1.378821e+05 |   0.06%|  52.73%,137882.1,0.06,0.0,0.0,0.85
61.0,137968.5,137882.1,0.06, 61.0s|   900 |   793 | 18760 |  20.2 |   241M |  77 |  12k| 621 | 271 | 413 |  1 | 657 |3458 | 1.379685e+05 | 1.378821e+05 |   0.06%|  52.73%,137882.1,0.06,0.0,0.0,1.0166666666666666
78.0,137968.5,137882.1,0.06, 78.0s|  1000 |   879 | 24296 |  23.7 |   243M |  77 |  12k| 639 | 281 | 432 |  1 | 688 |5543 | 1.379685e+05 | 1.378821e+05 |   0.06%|  52.73%,137882.1,0.06,0.0,0.0,1.3
82.0,137968.5,137882.1,0.06, 82.0s|  1100 |   971 | 26386 |  23.4 |   245M |  77 |  12k| 654 | 274 | 467 |  1 | 708 |5848 | 1.379685e+05 | 1.378821e+05 |   0.06%|  52.73%,137882.1,0.06,0.0,0.0,1.3666666666666667
86.0,137968.5,137882.1,0.06, 86.0s|  1200 |  1061 | 28022 |  22.8 |   246M |  77 |  12k| 701 | 275 | 500 |  8 | 794 |6077 | 1.379685e+05 | 1.378821e+05 |   0.06%|  52.73%,137882.1,0.06,0.0,0.0,1.4333333333333333
93.0,137968.5,137882.1,0.06, 93.0s|  1300 |  1147 | 29974 |  22.6 |   247M |  77 |  12k| 700 | 287 | 530 |  1 | 801 |6869 | 1.379685e+05 | 1.378821e+05 |   0.06%|  52.73%,137882.1,0.06,0.0,0.0,1.55
115.0,137968.5,137882.1,0.06,  115s|  1400 |  1237 | 34541 |  24.2 |   342M |  77 |  12k| 691 | 273 | 898 |  1 | 824 |8132 | 1.379685e+05 | 1.378821e+05 |   0.06%|  52.73%,137882.1,0.06,0.0,0.0,1.9166666666666667
126.0,137968.5,137882.1,0.06,  126s|  1500 |  1329 | 40800 |  26.8 |   343M |  77 |  12k| 677 | 272 | 990 |  1 | 825 |8590 | 1.379685e+05 | 1.378821e+05 |   0.06%|  52.73%,137882.1,0.06,0.0,0.0,2.1
129.0,137968.5,137882.1,0.06,  129s|  1600 |  1407 | 41907 |  25.8 |   343M |  77 |  12k| 681 | 274 |1031 |  1 | 838 |8798 | 1.379685e+05 | 1.378821e+05 |   0.06%|  52.73%,137882.1,0.06,0.0,0.0,2.15
133.0,137968.5,137882.1,0.06,  133s|  1700 |  1493 | 42959 |  24.9 |   344M |  77 |  12k| 668 | 274 |1084 |  1 | 848 |9022 | 1.379685e+05 | 1.378821e+05 |   0.06%|  52.73%,137882.1,0.06,0.0,0.0,2.216666666666667
140.0,137968.5,137882.1,0.06,  140s|  1800 |  1585 | 45066 |  24.7 |   346M |  77 |  12k| 649 | 274 |1128 |  1 | 882 |9738 | 1.379685e+05 | 1.378821e+05 |   0.06%|  52.73%,137882.1,0.06,0.0,0.0,2.3333333333333335
143.0,137968.5,137882.1,0.06,  143s|  1900 |  1675 | 46376 |  24.1 |   347M |  77 |  12k| 635 | 271 |1195 |  1 | 884 |9877 | 1.379685e+05 | 1.378821e+05 |   0.06%|  52.73%,137882.1,0.06,0.0,0.0,2.3833333333333333
167.0,137968.5,137882.1,0.06,  167s|  2000 |  1767 | 51048 |  25.2 |   433M |  77 |  12k| 573 | 273 |1676 |  1 | 907 |  11k| 1.379685e+05 | 1.378821e+05 |   0.06%|  52.73%,137882.1,0.06,0.0,0.0,2.783333333333333
171.0,137968.5,137882.1,0.06,  171s|  2100 |  1857 | 52279 |  24.6 |   433M |  77 |  12k| 558 | 282 |1722 |  1 | 915 |  11k| 1.379685e+05 | 1.378821e+05 |   0.06%|  52.73%,137882.1,0.06,0.0,0.0,2.85
175.0,137968.5,137882.1,0.06,  175s|  2200 |  1949 | 53759 |  24.2 |   434M |  77 |  12k| 563 | 272 |1741 |  1 | 978 |  11k| 1.379685e+05 | 1.378821e+05 |   0.06%|  52.73%,137882.1,0.06,0.0,0.0,2.9166666666666665
182.0,137968.5,137882.1,0.06,  182s|  2300 |  2031 | 56173 |  24.2 |   435M |  77 |  12k| 552 | 275 |1783 |  1 | 995 |  12k| 1.379685e+05 | 1.378821e+05 |   0.06%|  52.73%,137882.1,0.06,0.0,0.0,3.033333333333333
192.0,137968.5,137882.1,0.06,  192s|  2400 |  2129 | 58296 |  24.0 |   431M |  77 |  12k| 538 | 272 |1842 |  1 |1014 |  12k| 1.379685e+05 | 1.378821e+05 |   0.06%|  52.73%,137882.1,0.06,0.0,0.0,3.2
205.0,137968.5,137882.1,0.06,  205s|  2500 |  2219 | 63967 |  25.3 |   432M |  77 |  12k| 506 | 272 |1876 |  1 |1034 |  14k| 1.379685e+05 | 1.378821e+05 |   0.06%|  52.73%,137882.1,0.06,0.0,0.0,3.4166666666666665
216.0,137968.5,137882.1,0.06,  216s|  2600 |  2319 | 66362 |  25.3 |   433M |  77 |  12k| 492 | 300 |1940 |  3 |1042 |  14k| 1.379685e+05 | 1.378821e+05 |   0.06%|  52.73%,137882.1,0.06,0.0,0.0,3.6
224.0,137968.5,137882.1,0.06,  224s|  2700 |  2415 | 68451 |  25.1 |   434M |  77 |  12k| 486 | 275 |2111 |  1 |1056 |  15k| 1.379685e+05 | 1.378821e+05 |   0.06%|  52.73%,137882.1,0.06,0.0,0.0,3.7333333333333334
229.0,137968.5,137882.1,0.06,  229s|  2800 |  2483 | 70284 |  24.9 |   436M |  77 |  12k| 480 | 268 |2165 |  1 |1058 |  15k| 1.379685e+05 | 1.378821e+05 |   0.06%|  52.73%,137882.1,0.06,0.0,0.0,3.816666666666667
233.0,137968.5,137882.1,0.06,  233s|  2900 |  2569 | 71533 |  24.5 |   437M |  77 |  12k| 486 | 284 |2225 |  1 |1069 |  15k| 1.379685e+05 | 1.378821e+05 |   0.06%|  52.73%,137882.1,0.06,0.0,0.0,3.8833333333333333
239.0,137968.5,137882.1,0.06,  239s|  3000 |  2657 | 73898 |  24.4 |   438M |  77 |  12k| 491 | 283 |2246 |  4 |1086 |  16k| 1.379685e+05 | 1.378821e+05 |   0.06%|  52.73%,137882.1,0.06,0.0,0.0,3.9833333333333334
244.0,137968.5,137882.1,0.06,  244s|  3100 |  2735 | 75361 |  24.1 |   439M |  77 |  12k| 482 | 276 |2273 |  1 |1092 |  16k| 1.379685e+05 | 1.378821e+05 |   0.06%|  52.73%,137882.1,0.06,0.0,0.0,4.066666666666666
247.0,137968.5,137882.1,0.06,  247s|  3200 |  2825 | 76643 |  23.8 |   439M |  77 |  12k| 481 | 274 |2315 |  1 |1096 |  16k| 1.379685e+05 | 1.378821e+05 |   0.06%|  52.73%,137882.1,0.06,0.0,0.0,4.116666666666666
252.0,137968.5,137882.1,0.06,  252s|  3300 |  2913 | 78613 |  23.6 |   441M |  77 |  12k| 481 | 274 |2346 |  1 |1109 |  16k| 1.379685e+05 | 1.378821e+05 |   0.06%|  52.73%,137882.1,0.06,0.0,0.0,4.2
261.0,137968.5,137882.1,0.06,  261s|  3400 |  3001 | 80810 |  23.6 |   443M |  77 |  12k| 476 | 278 |2501 |  4 |1113 |  17k| 1.379685e+05 | 1.378821e+05 |   0.06%|  52.73%,137882.1,0.06,0.0,0.0,4.35
264.0,137968.5,137882.1,0.06,  264s|  3500 |  3091 | 81997 |  23.3 |   445M |  77 |  12k| 474 | 274 |2529 |  8 |1123 |  17k| 1.379685e+05 | 1.378821e+05 |   0.06%|  52.73%,137882.1,0.06,0.0,0.0,4.4
267.0,137968.5,137882.1,0.06,  267s|  3600 |  3181 | 83471 |  23.0 |   445M |  77 |  12k| 475 | 276 |2562 |  1 |1132 |  17k| 1.379685e+05 | 1.378821e+05 |   0.06%|  52.73%,137882.1,0.06,0.0,0.0,4.45
270.0,137968.5,137882.1,0.06,  270s|  3700 |  3275 | 85510 |  22.9 |   447M |  77 |  12k| 477 | 275 |2591 |  2 |1147 |  17k| 1.379685e+05 | 1.378821e+05 |   0.06%|  52.73%,137882.1,0.06,0.0,0.0,4.5
274.0,137968.5,137882.1,0.06,  274s|  3800 |  3365 | 86962 |  22.7 |   448M |  77 |  12k| 500 | 276 |2655 |  1 |1183 |  17k| 1.379685e+05 | 1.378821e+05 |   0.06%|  52.73%,137882.1,0.06,0.0,0.0,4.566666666666666
280.0,137968.5,137882.1,0.06,  280s|  3900 |  3459 | 89113 |  22.7 |   448M |  77 |  12k| 493 | 272 |2787 |  1 |1184 |  17k| 1.379685e+05 | 1.378821e+05 |   0.06%|  52.73%,137882.1,0.06,0.0,0.0,4.666666666666667
