time_sec,dual_bound,objective_value,gap_pct,raw_line,objective_value_ffill,gap_pct_ffill,delta_objective,delta_gap,time_min
2.0,137974.3,137882.1,0.07,  2.0s|     1 |     0 |   227 |     - |   163M |   0 |  12k| 641 | 489 |   0 |  0 | 152 |   0 | 1.379743e+05 | 1.378821e+05 |   0.07%| unknown,137882.1,0.07,0.0,0.0,0.03333333333333333
2.0,137974.3,137882.1,0.07,  2.0s|     1 |     0 |   227 |     - |   163M |   0 |  12k| 641 | 241 |   0 |  0 | 152 |   0 | 1.379743e+05 | 1.378821e+05 |   0.07%| unknown,137882.1,0.07,0.0,0.0,0.03333333333333333
2.0,137974.3,137882.1,0.07,  2.0s|     1 |     0 |   234 |     - |   167M |   0 |  12k| 641 | 246 |   5 |  1 | 152 |   0 | 1.379743e+05 | 1.378821e+05 |   0.07%| unknown,137882.1,0.07,0.0,0.0,0.03333333333333333
2.0,137973.7,137882.1,0.07,  2.0s|     1 |     0 |   272 |     - |   168M |   0 |  12k| 641 | 251 |  10 |  2 | 152 |   0 | 1.379737e+05 | 1.378821e+05 |   0.07%| unknown,137882.1,0.07,0.0,0.0,0.03333333333333333
2.0,137973.7,137882.1,0.07,  2.0s|     1 |     0 |   272 |     - |   168M |   0 |  12k| 641 | 251 |  10 |  2 | 152 |   0 | 1.379737e+05 | 1.378821e+05 |   0.07%| unknown,137882.1,0.07,0.0,0.0,0.03333333333333333
3.0,137973.7,137882.1,0.07,  3.0s|     1 |     0 |   285 |     - |   170M |   0 |  12k| 640 | 257 |  16 |  3 | 152 |   0 | 1.379737e+05 | 1.378821e+05 |   0.07%| unknown,137882.1,0.07,0.0,0.0,0.05
3.0,137973.5,137882.1,0.07,  3.0s|     1 |     0 |   320 |     - |   172M |   0 |  12k| 639 | 261 |  20 |  4 | 152 |   0 | 1.379735e+05 | 1.378821e+05 |   0.07%| unknown,137882.1,0.07,0.0,0.0,0.05
3.0,137973.5,137882.1,0.07,  3.0s|     1 |     0 |   348 |     - |   173M |   0 |  12k| 639 | 267 |  26 |  5 | 152 |   0 | 1.379735e+05 | 1.378821e+05 |   0.07%| unknown,137882.1,0.07,0.0,0.0,0.05
3.0,137973.3,137882.1,0.07,  3.0s|     1 |     0 |   382 |     - |   173M |   0 |  12k| 639 | 273 |  32 |  6 | 152 |   0 | 1.379733e+05 | 1.378821e+05 |   0.07%| unknown,137882.1,0.07,0.0,0.0,0.05
3.0,137973.3,137882.1,0.07,  3.0s|     1 |     0 |   382 |     - |   173M |   0 |  12k| 639 | 273 |  32 |  6 | 152 |   0 | 1.379733e+05 | 1.378821e+05 |   0.07%| unknown,137882.1,0.07,0.0,0.0,0.05
3.0,137973.2,137882.1,0.07,  3.0s|     1 |     0 |   444 |     - |   174M |   0 |  12k| 639 | 279 |  38 |  7 | 152 |   0 | 1.379732e+05 | 1.378821e+05 |   0.07%| unknown,137882.1,0.07,0.0,0.0,0.05
