time_sec,dual_bound,objective_value,gap_pct,raw_line,objective_value_ffill,gap_pct_ffill,delta_objective,delta_gap,time_min
3.0,137974.3,,inf,  3.0s|     1 |     0 |   227 |     - |   168M |   0 |  12k| 642 | 489 |   0 |  0 | 153 |   0 | 1.379743e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.05
3.0,137974.3,,inf,  3.0s|     1 |     0 |   309 |     - |   175M |   0 |  12k| 642 | 495 |   6 |  1 | 153 |   0 | 1.379743e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.05
3.0,137973.7,,inf,  3.0s|     1 |     0 |   338 |     - |   177M |   0 |  12k| 642 | 502 |  13 |  2 | 153 |   0 | 1.379737e+05 |      --      |    Inf | unknown,,,0.0,0.0,0.05
3.0,137973.7,122401.6,12.72,r 3.0s|     1 |     0 |   338 |     - |shifting|   0 |  12k| 642 | 502 |  13 |  2 | 153 |   0 | 1.379737e+05 | 1.224016e+05 |  12.72%| unknown,122401.6,12.72,0.0,0.0,0.05
3.0,137973.7,122401.6,12.72,  3.0s|     1 |     0 |   352 |     - |   177M |   0 |  12k| 642 | 508 |  19 |  3 | 153 |   0 | 1.379737e+05 | 1.224016e+05 |  12.72%| unknown,122401.6,12.72,0.0,0.0,0.05
3.0,137973.7,135201.2,2.05,i 3.0s|     1 |     0 |   352 |     - |  oneopt|   0 |  12k| 642 | 508 |  19 |  3 | 153 |   0 | 1.379737e+05 | 1.352012e+05 |   2.05%| unknown,135201.2,2.05,12799.600000000006,-10.670000000000002,0.05
3.0,137973.5,135201.2,2.05,  3.0s|     1 |     0 |   407 |     - |   178M |   0 |  12k| 642 | 514 |  25 |  4 | 153 |   0 | 1.379735e+05 | 1.352012e+05 |   2.05%| unknown,135201.2,2.05,0.0,0.0,0.05
3.0,137973.4,135201.2,2.05,  3.0s|     1 |     0 |   424 |     - |   182M |   0 |  12k| 642 | 520 |  31 |  5 | 153 |   0 | 1.379734e+05 | 1.352012e+05 |   2.05%| unknown,135201.2,2.05,0.0,0.0,0.05
3.0,137973.3,135201.2,2.05,  3.0s|     1 |     0 |   440 |     - |   185M |   0 |  12k| 642 | 527 |  38 |  6 | 153 |   0 | 1.379733e+05 | 1.352012e+05 |   2.05%| unknown,135201.2,2.05,0.0,0.0,0.05
4.0,137973.3,135201.2,2.05,  4.0s|     1 |     0 |   476 |     - |   188M |   0 |  12k| 642 | 533 |  44 |  7 | 153 |   0 | 1.379733e+05 | 1.352012e+05 |   2.05%| unknown,135201.2,2.05,0.0,0.0,0.06666666666666667
